group,name,nrows,ncols,nnz,is_real,is_binary,is_nd,posdef,pattern_symmetry,numerical_symmetry,kind,nentries,estimated_mb,url
Bai,olm5000,5000,5000,19996,1,0,1,0,0.6667111229661243,0.3332888770338757,computational fluid dynamics problem,19996,0.612,https://sparse.tamu.edu/MM/Bai/olm5000.tar.gz
Gset,G57,5000,5000,20000,1,0,0,0,1.0,1.0,undirected weighted random graph,20000,0.612,https://sparse.tamu.edu/MM/Gset/G57.tar.gz
HB,sherman3,5005,5005,20033,1,0,1,0,1.0,0.4532871972318339,computational fluid dynamics problem,20033,0.613,https://sparse.tamu.edu/MM/HB/sherman3.tar.gz
Bai,rw5151,5151,5151,20199,1,0,0,0,0.4902222882320907,0.0,statistical/mathematical problem,20199,0.618,https://sparse.tamu.edu/MM/Bai/rw5151.tar.gz
Oberwolfach,t3dl_e,20360,20360,20360,1,0,1,1,1.0,1.0,duplicate model reduction problem,20360,0.623,https://sparse.tamu.edu/MM/Oberwolfach/t3dl_e.tar.gz
Boeing,bcsstm35,30237,30237,20619,1,0,1,0,1.0,1.0,structural problem,20619,0.631,https://sparse.tamu.edu/MM/Boeing/bcsstm35.tar.gz
SNAP,p2p-Gnutella08,6301,6301,20777,1,1,0,0,0.0,0.0,directed graph,20777,0.636,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella08.tar.gz
HB,bcspwr10,5300,5300,21842,1,1,0,0,1.0,1.0,power network problem,21842,0.669,https://sparse.tamu.edu/MM/HB/bcspwr10.tar.gz
Hamrle,Hamrle2,5952,5952,22162,1,0,0,0,0.0009930486593843098,0.0001805543017062382,circuit simulation problem,22162,0.678,https://sparse.tamu.edu/MM/Hamrle/Hamrle2.tar.gz
Zitney,hydr1c,5308,5308,22592,1,0,0,0,0.004126315789473685,0.0006197432492253209,chemical process simulation problem sequence,23752,0.727,https://sparse.tamu.edu/MM/Zitney/hydr1c.tar.gz
Zitney,hydr1,5308,5308,22680,1,0,0,0,0.004126315789473685,0.0006173383896287151,chemical process simulation problem,23752,0.727,https://sparse.tamu.edu/MM/Zitney/hydr1.tar.gz
Nasa,barth4,6019,6019,23492,1,1,1,0,0.0,0.0,duplicate structural problem,23492,0.719,https://sparse.tamu.edu/MM/Nasa/barth4.tar.gz
AG-Monien,airfoil1_dual,8034,8034,23626,1,1,1,0,1.0,1.0,2D/3D problem,23626,0.723,https://sparse.tamu.edu/MM/AG-Monien/airfoil1_dual.tar.gz
Pajek,geom,7343,7343,23796,1,0,0,0,1.0,1.0,undirected weighted graph,23796,0.728,https://sparse.tamu.edu/MM/Pajek/geom.tar.gz
Gset,G55,5000,5000,24996,1,1,0,0,1.0,1.0,duplicate undirected random graph,24996,0.765,https://sparse.tamu.edu/MM/Gset/G55.tar.gz
Gset,G56,5000,5000,24996,1,0,0,0,1.0,1.0,undirected weighted random graph,24996,0.765,https://sparse.tamu.edu/MM/Gset/G56.tar.gz
Grund,meg4,5860,5860,25258,1,0,0,0,1.0,1.0,circuit simulation problem,46842,1.431,https://sparse.tamu.edu/MM/Grund/meg4.tar.gz
SNAP,p2p-Gnutella09,8114,8114,26013,1,1,0,0,0.0,0.0,directed graph,26013,0.796,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella09.tar.gz
Nasa,barth,6691,6691,26439,1,1,1,0,0.0,0.0,duplicate structural problem,26439,0.809,https://sparse.tamu.edu/MM/Nasa/barth.tar.gz
SNAP,as-735,7716,7716,26467,1,1,0,0,1.0,1.0,undirected graph sequence,26467,0.810,https://sparse.tamu.edu/MM/SNAP/as-735.tar.gz
AG-Monien,3elt_dual,9000,9000,26556,1,1,1,0,1.0,1.0,2D/3D problem,26556,0.812,https://sparse.tamu.edu/MM/AG-Monien/3elt_dual.tar.gz
Gset,G62,7000,7000,28000,1,0,0,0,1.0,1.0,undirected weighted random graph,28000,0.856,https://sparse.tamu.edu/MM/Gset/G62.tar.gz
Hohn,fd12,7500,7500,28462,1,0,1,0,0.0002810765230834094,0.0,materials problem,28462,0.871,https://sparse.tamu.edu/MM/Hohn/fd12.tar.gz
SNAP,ca-GrQc,5242,5242,28980,1,1,0,0,1.0,1.0,undirected graph,28980,0.886,https://sparse.tamu.edu/MM/SNAP/ca-GrQc.tar.gz
Grund,bayer03,6747,6747,29195,1,0,0,0,0.003132397173723459,0.0002740852405097985,chemical process simulation problem,56196,1.717,https://sparse.tamu.edu/MM/Grund/bayer03.tar.gz
Bai,rdb5000,5000,5000,29600,1,0,1,0,1.0,0.7967479674796748,computational fluid dynamics problem,29600,0.905,https://sparse.tamu.edu/MM/Bai/rdb5000.tar.gz
Lucifora,cell1,7055,7055,30082,1,0,0,0,0.9970503597122302,0.0,directed weighted graph,34855,1.066,https://sparse.tamu.edu/MM/Lucifora/cell1.tar.gz
Lucifora,cell2,7055,7055,30082,1,0,0,0,0.9970503597122302,0.004342728101793546,directed weighted graph,34855,1.066,https://sparse.tamu.edu/MM/Lucifora/cell2.tar.gz
Newman,hep-th,8361,8361,31502,1,0,0,0,1.0,1.0,undirected weighted graph,31502,0.963,https://sparse.tamu.edu/MM/Newman/hep-th.tar.gz
SNAP,p2p-Gnutella06,8717,8717,31525,1,1,0,0,0.0,0.0,directed graph,31525,0.964,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella06.tar.gz
Pothen,commanche_dual,7920,7920,31680,1,1,1,0,1.0,1.0,structural problem,31680,0.969,https://sparse.tamu.edu/MM/Pothen/commanche_dual.tar.gz
SNAP,p2p-Gnutella05,8846,8846,31839,1,1,0,0,0.0,0.0,directed graph,31839,0.974,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella05.tar.gz
Gset,G65,8000,8000,32000,1,0,0,0,1.0,1.0,undirected weighted random graph,32000,0.979,https://sparse.tamu.edu/MM/Gset/G65.tar.gz
Rajat,rajat03,7602,7602,32653,1,0,0,0,1.0,0.4024380527448012,circuit simulation problem,32653,0.998,https://sparse.tamu.edu/MM/Rajat/rajat03.tar.gz
Grund,poli_large,15575,15575,33033,1,0,0,0,0.003543059603405909,0.0004582426394776034,economic problem,33074,1.011,https://sparse.tamu.edu/MM/Grund/poli_large.tar.gz
Hollinger,jan99jac020,6774,6774,33744,1,0,0,0,0.003759634062284604,0.0,economic problem,38692,1.183,https://sparse.tamu.edu/MM/Hollinger/jan99jac020.tar.gz
Hollinger,jan99jac020sc,6774,6774,33744,1,0,0,0,0.003759634062284604,0.0,economic problem,38692,1.183,https://sparse.tamu.edu/MM/Hollinger/jan99jac020sc.tar.gz
Gset,G60,7000,7000,34296,1,1,0,0,1.0,1.0,duplicate undirected random graph,34296,1.049,https://sparse.tamu.edu/MM/Gset/G60.tar.gz
Gset,G61,7000,7000,34296,1,0,0,0,1.0,1.0,undirected weighted random graph,34296,1.049,https://sparse.tamu.edu/MM/Gset/G61.tar.gz
Rommes,bips98_606,7135,7135,34738,1,0,1,0,0.9086859688195991,0.7583878152166104,eigenvalue/model reduction problem,34738,1.062,https://sparse.tamu.edu/MM/Rommes/bips98_606.tar.gz
Oberwolfach,rail_5177,5177,5177,35185,1,0,1,0,1.0,1.0,model reduction problem,35185,1.076,https://sparse.tamu.edu/MM/Oberwolfach/rail_5177.tar.gz
SNAP,soc-sign-bitcoin-otc,5881,5881,35592,1,0,0,0,0.7923128792987189,0.5689480782198246,directed weighted temporal graph,35592,1.088,https://sparse.tamu.edu/MM/SNAP/soc-sign-bitcoin-otc.tar.gz
Gset,G66,9000,9000,36000,1,0,0,0,1.0,1.0,undirected weighted random graph,36000,1.101,https://sparse.tamu.edu/MM/Gset/G66.tar.gz
Gleich,wb-cs-stanford,9914,9914,36854,1,1,0,0,0.4572071438616228,0.4572071438616228,directed graph,36854,1.127,https://sparse.tamu.edu/MM/Gleich/wb-cs-stanford.tar.gz
Grund,poli3,16955,16955,37849,1,0,0,0,0.00507322676366421,0.0005743275581506652,economic problem,37849,1.157,https://sparse.tamu.edu/MM/Grund/poli3.tar.gz
SNAP,p2p-Gnutella04,10879,10879,39994,1,1,0,0,0.0,0.0,directed graph,39994,1.222,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella04.tar.gz
Gset,G67,10000,10000,40000,1,0,0,0,1.0,1.0,undirected weighted random graph,40000,1.223,https://sparse.tamu.edu/MM/Gset/G67.tar.gz
VDOL,freeFlyingRobot_11,5438,5438,40054,1,0,0,0,1.0,1.0,optimal control problem,40054,1.224,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_11.tar.gz
VDOL,freeFlyingRobot_10,5218,5218,40080,1,0,0,0,1.0,1.0,optimal control problem,40080,1.225,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_10.tar.gz
Pothen,barth4,6019,6019,40965,1,1,1,0,1.0,1.0,structural problem,40965,1.252,https://sparse.tamu.edu/MM/Pothen/barth4.tar.gz
Rommes,bips98_1142,9735,9735,40983,1,0,1,0,0.8020552507215579,0.6694154587839767,eigenvalue/model reduction problem,40983,1.253,https://sparse.tamu.edu/MM/Rommes/bips98_1142.tar.gz
Pajek,Lederberg,8843,8843,41601,1,0,0,0,0.003029210241615579,0.003029210241615579,directed multigraph,41601,1.272,https://sparse.tamu.edu/MM/Pajek/Lederberg.tar.gz
Bai,dw4096,8192,8192,41746,1,0,1,0,0.9626274065685164,0.9154199201287477,electromagnetics problem,41746,1.276,https://sparse.tamu.edu/MM/Bai/dw4096.tar.gz
Bai,dw8192,8192,8192,41746,1,0,1,0,0.9626274065685164,0.9154199201287477,electromagnetics problem,41746,1.276,https://sparse.tamu.edu/MM/Bai/dw8192.tar.gz
VDOL,freeFlyingRobot_12,5578,5578,41940,1,0,0,0,1.0,1.0,optimal control problem,41940,1.282,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_12.tar.gz
MathWorks,Kaufhold,8765,8765,42471,1,0,0,0,1.0,0.778437073518068,counter-example problem,42471,1.298,https://sparse.tamu.edu/MM/MathWorks/Kaufhold.tar.gz
Hollinger,g7jac020,5850,5850,42568,1,0,0,0,0.06184526063359838,0.0,economic problem,45465,1.389,https://sparse.tamu.edu/MM/Hollinger/g7jac020.tar.gz
Hollinger,g7jac020sc,5850,5850,42568,1,0,0,0,0.06184526063359838,0.0,economic problem,45465,1.389,https://sparse.tamu.edu/MM/Hollinger/g7jac020sc.tar.gz
Alemdar,Alemdar,6245,6245,42581,1,0,1,0,1.0,1.0,2D/3D problem,42581,1.301,https://sparse.tamu.edu/MM/Alemdar/Alemdar.tar.gz
Rajat,rajat01,6833,6833,43250,1,1,0,0,0.9957479284779764,0.9957479284779764,circuit simulation problem,43250,1.322,https://sparse.tamu.edu/MM/Rajat/rajat01.tar.gz
VDOL,freeFlyingRobot_14,5958,5958,43298,1,0,0,0,1.0,1.0,optimal control problem,43298,1.323,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_14.tar.gz
VDOL,freeFlyingRobot_15,6038,6038,43378,1,0,0,0,1.0,1.0,optimal control problem,43378,1.326,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_15.tar.gz
Schenk_IBMNA,c-29,5033,5033,43731,1,0,0,0,1.0,1.0,optimization problem,43731,1.337,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-29.tar.gz
VDOL,freeFlyingRobot_13,5718,5718,43994,1,0,0,0,1.0,1.0,optimal control problem,43994,1.345,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_13.tar.gz
VDOL,freeFlyingRobot_16,6078,6078,44006,1,0,0,0,1.0,1.0,optimal control problem,44006,1.345,https://sparse.tamu.edu/MM/VDOL/freeFlyingRobot_16.tar.gz
Hohn,fd15,11532,11532,44206,1,0,1,0,0.0,0.0,materials problem,44206,1.351,https://sparse.tamu.edu/MM/Hohn/fd15.tar.gz
Rommes,bips98_1450,11305,11305,44678,1,0,1,0,0.7593684272891549,0.6277809047012471,eigenvalue/model reduction problem,44678,1.365,https://sparse.tamu.edu/MM/Rommes/bips98_1450.tar.gz
Rommes,nopss_11k,11685,11685,44941,1,0,1,0,0.7502077151335311,0.6233827893175075,eigenvalue/model reduction problem,44941,1.373,https://sparse.tamu.edu/MM/Rommes/nopss_11k.tar.gz
GHS_indef,qpband,20000,20000,45000,1,0,0,0,1.0,1.0,optimization problem,45000,1.375,https://sparse.tamu.edu/MM/GHS_indef/qpband.tar.gz
Marini,eurqsa,7245,7245,46142,1,0,0,0,1.0,1.0,economic problem,46142,1.410,https://sparse.tamu.edu/MM/Marini/eurqsa.tar.gz
Pothen,barth,6691,6691,46187,1,1,1,0,1.0,1.0,structural problem,46187,1.411,https://sparse.tamu.edu/MM/Pothen/barth.tar.gz
Boeing,bcsstm39,46772,46772,46772,1,0,1,1,1.0,1.0,structural problem,46772,1.429,https://sparse.tamu.edu/MM/Boeing/bcsstm39.tar.gz
SNAP,Oregon-1,11492,11492,46818,1,1,0,0,1.0,1.0,undirected graph sequence,46818,1.431,https://sparse.tamu.edu/MM/SNAP/Oregon-1.tar.gz
Rajat,rajat06,10922,10922,46983,1,1,0,0,1.0,1.0,circuit simulation problem,46983,1.436,https://sparse.tamu.edu/MM/Rajat/rajat06.tar.gz
Bomhof,circuit_3,12127,12127,48137,1,0,0,0,0.7700717835450027,0.3001104362230811,circuit simulation problem,48137,1.471,https://sparse.tamu.edu/MM/Bomhof/circuit_3.tar.gz
Arenas,PGPgiantcompo,10680,10680,48632,1,0,0,0,1.0,1.0,undirected multigraph,48632,1.486,https://sparse.tamu.edu/MM/Arenas/PGPgiantcompo.tar.gz
Rommes,mimo46x46_system,13250,13250,48735,1,0,1,0,0.7075597554196776,0.5857142857142857,eigenvalue/model reduction problem,48735,1.489,https://sparse.tamu.edu/MM/Rommes/mimo46x46_system.tar.gz
Rommes,xingo_afonso_itaipu,13250,13250,48735,1,0,1,0,0.7075597554196776,0.5857142857142857,eigenvalue/model reduction problem,48735,1.489,https://sparse.tamu.edu/MM/Rommes/xingo_afonso_itaipu.tar.gz
Rommes,mimo28x28_system,13251,13251,48737,1,0,1,0,0.707540090603374,0.5856980072816208,eigenvalue/model reduction problem,48737,1.489,https://sparse.tamu.edu/MM/Rommes/mimo28x28_system.tar.gz
Rommes,ww_vref_6405,13251,13251,48737,1,0,1,0,0.707540090603374,0.5856980072816208,eigenvalue/model reduction problem,48737,1.489,https://sparse.tamu.edu/MM/Rommes/ww_vref_6405.tar.gz
Rajat,rajat13,7598,7598,48762,1,0,0,0,1.0,0.2965265970366772,circuit simulation problem,48922,1.495,https://sparse.tamu.edu/MM/Rajat/rajat13.tar.gz
Rommes,zeros_nopss_13k,13296,13296,48827,1,0,1,0,0.7083056110002218,0.5842204479929031,eigenvalue/model reduction problem,48827,1.492,https://sparse.tamu.edu/MM/Rommes/zeros_nopss_13k.tar.gz
Rommes,mimo8x8_system,13309,13309,48872,1,0,1,0,0.7060291752177048,0.584447279383216,eigenvalue/model reduction problem,48872,1.493,https://sparse.tamu.edu/MM/Rommes/mimo8x8_system.tar.gz
Rommes,bips07_1693,13275,13275,49044,1,0,1,0,0.706761938919083,0.5845449278560985,eigenvalue/model reduction problem,49044,1.499,https://sparse.tamu.edu/MM/Rommes/bips07_1693.tar.gz
DIMACS10,delaunay_n13,8192,8192,49094,1,1,0,0,1.0,1.0,undirected graph,49094,1.500,https://sparse.tamu.edu/MM/DIMACS10/delaunay_n13.tar.gz
GHS_indef,tuma2,12992,12992,49365,1,0,1,0,1.0,1.0,2D/3D problem,49365,1.508,https://sparse.tamu.edu/MM/GHS_indef/tuma2.tar.gz
Bai,cryg10000,10000,10000,49699,1,0,1,0,0.9974558553112169,0.0,materials problem,49699,1.519,https://sparse.tamu.edu/MM/Bai/cryg10000.tar.gz
GHS_indef,bloweybq,10001,10001,49999,1,0,1,1,1.0,1.0,materials problem,69991,2.138,https://sparse.tamu.edu/MM/GHS_indef/bloweybq.tar.gz
CPM,cz5108,5108,5108,51412,1,0,1,0,0.433914996544575,0.2362214927436075,2D/3D problem,51412,1.571,https://sparse.tamu.edu/MM/CPM/cz5108.tar.gz
JGD_Homology,n3c6-b7,6435,6435,51480,1,0,0,0,1.0,0.5333333333333333,combinatorial problem,51480,1.573,https://sparse.tamu.edu/MM/JGD_Homology/n3c6-b7.tar.gz
SNAP,ca-HepTh,9877,9877,51971,1,1,0,0,1.0,1.0,undirected graph,51971,1.588,https://sparse.tamu.edu/MM/SNAP/ca-HepTh.tar.gz
Hollinger,mark3jac020,9129,9129,52883,1,0,0,0,0.07363006419249245,0.01351166293878669,economic problem,56175,1.716,https://sparse.tamu.edu/MM/Hollinger/mark3jac020.tar.gz
Hollinger,mark3jac020sc,9129,9129,52883,1,0,0,0,0.07363006419249245,0.007349249098461679,economic problem,56175,1.716,https://sparse.tamu.edu/MM/Hollinger/mark3jac020sc.tar.gz
VDOL,kineticBatchReactor_3,5082,5082,53219,1,0,0,0,1.0,1.0,optimal control problem,53219,1.626,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_3.tar.gz
Shen,shermanACd,6136,6136,53329,1,0,1,0,0.1520140698832454,0.01665501239590617,2D/3D problem,53329,1.629,https://sparse.tamu.edu/MM/Shen/shermanACd.tar.gz
GHS_indef,ncvxqp9,16554,16554,54040,1,0,0,0,1.0,1.0,optimization problem,54040,1.651,https://sparse.tamu.edu/MM/GHS_indef/ncvxqp9.tar.gz
TSOPF,TSOPF_RS_b9_c6,7224,7224,54082,1,0,0,0,0.1544436146377894,0.0002560546249866638,power network problem,54082,1.652,https://sparse.tamu.edu/MM/TSOPF/TSOPF_RS_b9_c6.tar.gz
Pajek,Zewail,6752,6752,54233,1,0,0,0,0.001843929783153858,0.001843929783153858,directed multigraph,54233,1.657,https://sparse.tamu.edu/MM/Pajek/Zewail.tar.gz
Schenk_IBMNA,c-32,5975,5975,54471,1,0,0,0,1.0,1.0,optimization problem,54471,1.664,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-32.tar.gz
SNAP,p2p-Gnutella25,22687,22687,54705,1,1,0,0,0.0,0.0,directed graph,54705,1.671,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella25.tar.gz
Schenk_IBMNA,c-33,6317,6317,56123,1,0,0,0,1.0,1.0,optimization problem,56123,1.715,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-33.tar.gz
AG-Monien,whitaker3_dual,19190,19190,57162,1,1,1,0,1.0,1.0,2D/3D problem,57162,1.746,https://sparse.tamu.edu/MM/AG-Monien/whitaker3_dual.tar.gz
AG-Monien,whitaker3,9800,9800,57978,1,1,1,0,1.0,1.0,2D/3D problem,57978,1.771,https://sparse.tamu.edu/MM/AG-Monien/whitaker3.tar.gz
Gset,G58,5000,5000,59140,1,1,0,0,1.0,1.0,duplicate undirected random graph,59140,1.807,https://sparse.tamu.edu/MM/Gset/G58.tar.gz
Gset,G59,5000,5000,59140,1,0,0,0,1.0,1.0,undirected weighted random graph,59140,1.807,https://sparse.tamu.edu/MM/Gset/G59.tar.gz
AG-Monien,crack_dual,20141,20141,60086,1,1,1,0,1.0,1.0,2D/3D problem,60086,1.836,https://sparse.tamu.edu/MM/AG-Monien/crack_dual.tar.gz
AG-Monien,crack,10240,10240,60760,1,1,1,0,1.0,1.0,2D/3D problem,60760,1.856,https://sparse.tamu.edu/MM/AG-Monien/crack.tar.gz
GHS_indef,sit100,10262,10262,61046,1,0,1,0,1.0,1.0,2D/3D problem,61046,1.865,https://sparse.tamu.edu/MM/GHS_indef/sit100.tar.gz
Nasa,barth5,15606,15606,61484,1,1,1,0,0.0,0.0,duplicate structural problem,61484,1.878,https://sparse.tamu.edu/MM/Nasa/barth5.tar.gz
Rommes,bips07_1998,15066,15066,62198,1,0,1,0,0.7978660841804587,0.6687809795849786,eigenvalue/model reduction problem,62198,1.900,https://sparse.tamu.edu/MM/Rommes/bips07_1998.tar.gz
Schenk_IBMNA,c-35,6537,6537,62891,1,0,0,0,1.0,1.0,optimization problem,62891,1.921,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-35.tar.gz
Grund,bayer02,13935,13935,63307,1,0,0,0,0.001884570082449941,0.000284346713425904,chemical process simulation problem,63679,1.945,https://sparse.tamu.edu/MM/Grund/bayer02.tar.gz
Hohn,fd18,16428,16428,63406,1,0,1,0,3.154275620603729e-05,0.0,materials problem,63406,1.937,https://sparse.tamu.edu/MM/Hohn/fd18.tar.gz
Rajat,rajat07,14842,14842,63913,1,1,0,0,1.0,1.0,circuit simulation problem,63913,1.952,https://sparse.tamu.edu/MM/Rajat/rajat07.tar.gz
Schenk_IBMNA,c-34,6611,6611,64333,1,0,0,0,1.0,1.0,optimization problem,64333,1.965,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-34.tar.gz
LiuWenzhuo,powersim,15838,15838,64424,1,0,0,0,0.5913695769855386,0.5337339974478245,power network problem,67562,2.064,https://sparse.tamu.edu/MM/LiuWenzhuo/powersim.tar.gz
SNAP,p2p-Gnutella24,26518,26518,65369,1,1,0,0,0.0,0.0,directed graph,65369,1.997,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella24.tar.gz
SNAP,Oregon-2,11806,11806,65460,1,1,0,0,1.0,1.0,undirected graph sequence,65460,2.000,https://sparse.tamu.edu/MM/SNAP/Oregon-2.tar.gz
DIMACS10,fe_4elt2,11143,11143,65636,1,1,0,0,1.0,1.0,undirected graph,65636,2.005,https://sparse.tamu.edu/MM/DIMACS10/fe_4elt2.tar.gz
Schenk_IBMNA,c-30,5321,5321,65693,1,0,0,0,1.0,1.0,optimization problem,65693,2.007,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-30.tar.gz
Schenk_IBMNA,c-36,7479,7479,65941,1,0,0,0,1.0,1.0,optimization problem,65941,2.014,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-36.tar.gz
Rommes,bips07_2476,16861,16861,66498,1,0,1,0,0.7574573297176583,0.6349098739830914,eigenvalue/model reduction problem,66498,2.031,https://sparse.tamu.edu/MM/Rommes/bips07_2476.tar.gz
Oberwolfach,flowmeter0,9669,9669,67391,1,0,1,0,1.0,1.0,model reduction problem,67391,2.059,https://sparse.tamu.edu/MM/Oberwolfach/flowmeter0.tar.gz
Oberwolfach,flowmeter5,9669,9669,67391,1,0,1,0,1.0,0.06222930598385364,model reduction problem,67391,2.059,https://sparse.tamu.edu/MM/Oberwolfach/flowmeter5.tar.gz
GHS_indef,dtoc,24993,24993,69972,1,0,0,0,1.0,1.0,optimization problem,69972,2.137,https://sparse.tamu.edu/MM/GHS_indef/dtoc.tar.gz
GHS_indef,aug3d,24300,24300,69984,1,0,1,0,1.0,1.0,2D/3D problem,69984,2.138,https://sparse.tamu.edu/MM/GHS_indef/aug3d.tar.gz
Gaertner,nopoly,10774,10774,70842,1,0,0,0,1.0,1.0,undirected weighted graph,70842,2.164,https://sparse.tamu.edu/MM/Gaertner/nopoly.tar.gz
AG-Monien,L-9,17983,17983,71192,1,1,1,0,1.0,1.0,2D/3D problem,71192,2.175,https://sparse.tamu.edu/MM/AG-Monien/L-9.tar.gz
Grund,bayer10,13436,13436,71594,1,0,0,0,0.002528365095919851,0.0002234917796929782,chemical process simulation problem,94926,2.899,https://sparse.tamu.edu/MM/Grund/bayer10.tar.gz
FIDAP,ex18,5773,5773,71701,1,0,1,0,1.0,0.4973910933139182,computational fluid dynamics problem,71805,2.193,https://sparse.tamu.edu/MM/FIDAP/ex18.tar.gz
Pajek,FA,10617,10617,72176,1,0,0,0,0.232333869090506,0.005847142936318794,directed weighted graph,72176,2.205,https://sparse.tamu.edu/MM/Pajek/FA.tar.gz
Hollinger,jan99jac040,13694,13694,72734,1,0,0,0,0.003470816220281136,0.0,economic problem,82842,2.530,https://sparse.tamu.edu/MM/Hollinger/jan99jac040.tar.gz
Hollinger,jan99jac040sc,13694,13694,72734,1,0,0,0,0.003470816220281136,0.0,economic problem,82842,2.530,https://sparse.tamu.edu/MM/Hollinger/jan99jac040sc.tar.gz
Grund,poli4,33833,33833,73249,1,0,0,0,0.003551857113862391,0.0002029632636492795,economic problem,73249,2.237,https://sparse.tamu.edu/MM/Grund/poli4.tar.gz
Rommes,descriptor_xingo6u,20738,20738,73916,1,0,1,0,0.6848202865775669,0.5745268504272713,eigenvalue/model reduction problem,73916,2.258,https://sparse.tamu.edu/MM/Rommes/descriptor_xingo6u.tar.gz
GHS_indef,ncvxqp1,12111,12111,73963,1,0,0,0,1.0,1.0,optimization problem,73963,2.259,https://sparse.tamu.edu/MM/GHS_indef/ncvxqp1.tar.gz
Rommes,xingo3012,20944,20944,74386,1,0,1,0,0.681002526603102,0.5712336093539642,eigenvalue/model reduction problem,74386,2.272,https://sparse.tamu.edu/MM/Rommes/xingo3012.tar.gz
Schenk_IBMNA,c-37,8204,8204,74676,1,0,0,0,1.0,1.0,optimization problem,74676,2.281,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-37.tar.gz
VDOL,kineticBatchReactor_4,7105,7105,74869,1,0,0,0,1.0,1.0,optimal control problem,74869,2.287,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_4.tar.gz
Rommes,bips07_3078,21128,21128,75729,1,0,1,0,0.6861363964744979,0.5750975292587777,eigenvalue/model reduction problem,75729,2.313,https://sparse.tamu.edu/MM/Rommes/bips07_3078.tar.gz
GHS_indef,aug2d,29008,29008,76832,1,0,1,0,1.0,1.0,2D/3D problem,76832,2.347,https://sparse.tamu.edu/MM/GHS_indef/aug2d.tar.gz
Schenk_IBMNA,c-38,8127,8127,77689,1,0,0,0,1.0,1.0,optimization problem,77689,2.373,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-38.tar.gz
